"Component Count:","17"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","10nf","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor",""
"D1, D2, D3, D4, ","4","1N5711","1N5711","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","70V 33mA Schottky diode, DO-35",""
"J1, J2, ","2","Conn_01x04_Male","Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, R2, R3, R4, R5, R6, R7, R8, ","8","1k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"U1, ","1","ADA4851-2","ADA4075-2","Package_SO:TSSOP-8_3x3mm_P0.65mm","Ultralow Noise Amplifier at Lower Power, SOIC-8/LFCSP-8",""
