"Component Count:","9"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"J2, J3, J4, J5, J6, ","5","AudioJack2_SwitchT","AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)",""
"J7, J8, ","2","Conn_01x06_Male","Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"RV1, RV2, ","2","B10k","R_Potentiometer","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","Potentiometer",""
